,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Indiana
8,Iowa
9,Kansas
10,Maine
11,Massachusetts
12,Michigan
13,Mississippi
14,Missouri
15,New Hampshire
16,New Mexico
17,Oregon
18,Pennsylvania
19,Rhode Island
20,South Carolina
21,Texas
22,Utah
23,Vermont
24,Virginia
25,Washington
26,West Virginia
27,Wisconsin
28,Wyoming
